TestCase ID,Test Case Title,Module,Test Designed By,Test Designed Date,Pre-Conditions,Test Data,Test Steps,Expected Result,Actual Result,Status,Severity,Priority,Environment,Comments
TC_LOGIN_001,Verify login page loads successfully,Login,Bhargavi Prasanna,30-Aug-25,User is on login page,N/A,"1. Open URL
2. Wait for page load",Page loads successfully,Page loaded,Pass,High,High,QA,Works as expected
TC_LOGIN_002,Verify page title,Login,Bhargavi Prasanna,30-Aug-25,User is on login page,N/A,Check page title,Swag Labs,Swag Labs,Pass,High,High,QA,Works as expected
TC_LOGIN_003,Verify logo is visible,Login,Bhargavi Prasanna,30-Aug-25,User is on login page,N/A,Check Swag Labs logo,Logo visible,Logo visible,Pass,Medium,Medium,QA,Works as expected
TC_LOGIN_004,Verify Username & Password fields displayed,Login,Bhargavi Prasanna,30-Aug-25,User is on login page,N/A,Check fields,Both fields visible,Both visible,Pass,High,High,QA,Works as expected
TC_LOGIN_005,Verify Login button displayed & enabled,Login,Bhargavi Prasanna,30-Aug-25,User is on login page,N/A,Check login button,Displayed & enabled,Displayed & enabled,Pass,High,High,QA,Works as expected
TC_LOGIN_006,Verify placeholder text in username field,Login,Bhargavi Prasanna,30-Aug-25,User is on login page,N/A,Check username placeholder,Username,Username,Pass,Low,Low,QA,Works as expected
TC_LOGIN_007,Verify placeholder text in password field,Login,Bhargavi Prasanna,30-Aug-25,User is on login page,N/A,Check password placeholder,Password,Password,Pass,Low,Low,QA,Works as expected
TC_LOGIN_008,Verify Login button text,Login,Bhargavi Prasanna,30-Aug-25,User is on login page,N/A,Check button text,Login,Login,Pass,Low,Low,QA,Works as expected
TC_LOGIN_009,Login with standard_user / secret_sauce,Login,Bhargavi Prasanna,30-Aug-25,User is on login page,standard_user/secret_sauce,"Enter creds, click login",Inventory page displayed,Inventory page displayed,Pass,High,High,QA,Works as expected
TC_LOGIN_010,Login with locked_out_user / secret_sauce,Login,Bhargavi Prasanna,8/30/2025,User is on login page,locked_out_user/secret_sauce,"Enter creds, click login",Error shown,Error shown,Pass,High,High,QA,Works as expected
TC_LOGIN_011,Login with problem_user / secret_sauce,Login,Bhargavi Prasanna,30-Aug-25,User is on login page,problem_user/secret_sauce,"Enter creds, click login",Broken images displayed,Broken images displayed,Fail,Medium,Medium,QA,Bug logged
