TestCase ID,Test Case Title,Module Name,Test Designed By,Test Designed Date,Pre-Condition,Test Data,Test Steps,Excepted Results,Actual Results,Status(Pass/Fail),Severity,Priority,Environment,Comments/Notes
TC_Register_01,Register with valid credentials,Register Page,Bhargavi Prasanna,30-Aug-25,User on Registration Page,"Gender=Female, FirstName=Vemireddy, LastName=Bhargavi Prasanna, Email=munnyreddy05@gmail.com,Company=N/A, Options=Newsletter Checked, Password=Munny@12, ConfirmPassword=Munny@12",Open site > Click Register > Select Gender >Enter First Name > Enter Last Name > Enter Email > Enter Company > Select Newsletter > Enter Password > Enter Confirm Password > Click Register > Verify success message,"User account should be created, confirmation message displayed.",Successfully register and Confirm message is displayed,Pass,High,High,QA,None
TC_Register_02,Verify Registration with Invalid First Name and Last Name(Numbers allowed and Special Characters allowed),Register Page,Bhargavi Prasanna,30-Aug-25,User on Registration Page,"FirstName=12345, LastName=@@@@, Email=5@gmail.com
, Password=Munny@12, ConfirmPassword=Munny@12",Open site > Click Register > Enter First Name = 12345 >Enter Last Name = 12345 > Fill other valid fields > Click Register,"System should not allow numbers and characters, it must show a messge First and Last name must have letters",Successfully register and Confirm message is displayed,Fail,Medium,Medium,QA,"Name field accepts numbers, validation missing"
TC_Register_03,Verify Registration with Weak Password (only letters or numbers),Register Page,Bhargavi Prasanna,30-Aug-25,User on Registration Page,"Password=password, ConfirmPassword=password or Password = 123456, Confirm Password = 123456",Open site > Click Register > Enter Password = password > Confirm Password = password >Fill other valid fields > Click Register,"System should not allow weak password (should enforce uppercase, lowercase, number, special char)",Successfully register and Confirm message is displayed,Pass,High,High,QA,Password policy missing
TC_Register_04,Verify Registration with blank fields,Register Page,Bhargavi Prasanna,30-Aug-25,User on Registration Page,All fields must be blank,Open site > Click Register > Enter Password = 123456 > Confirm Password = 123456 > Fill other valid fields > Click Register,System should throw a enter all fields,Successfully displayed a message,Pass,High,High,QA,Password policy missing
TC_Login_01,Verify Login with valid credentials,Login,Bhargavi Prasanna,30-Aug-25,User on Login Page,"Email=munnyreddy05@gmail.com, Password=Munny@12",Open site > Click Login > Leave all fields as blank> Click Login> Verify login success,User should log in successfully and redirected to homepage,Successfully Logged In,Pass,High,High,QA,None
TC_Login_02,Verify Login with invalid credentials,Login,Bhargavi Prasanna,30-Aug-25,User on Login Page,"Email=a@gmail.com, Password=123456",Open site > Click Login > Enter valid Email & wrong Password > Click Login,User should log in successfully and redirected to homepage,Successfully Logged In,Pass,High,High,QA,None
TC_Login-03,Verify login with unregistered email,Login,Bhargavi Prasanna,30-Aug-25,User on Login Page,"Email=abc@gmail.com, Password= Munny@12",Open site > Click Login > Enter unregistered Email & valid Password > Click Login > Verify error,"Login should fail with error message ""No account found with this email""",Error message shown,Pass,High,High,QA,None
TC_Login_04,Verify login with Blank Email,Login,Bhargavi Prasanna,30-Aug-25,User on Login Page,"[Blank],Password=Munny@12",Open site > Click Login > Leave Email blank & enter Password > Click Login > Verify error,"Login should fail with error ""Email is required""",Error message shown,Pass,High,High,QA,None
TC_Login_05,Verify login with Blank Password,Login,Bhargavi Prasanna,30-Aug-25,User on Login Page,"Email=munnyreddy05@gmail.com,[Blank]",Open site > Click Login > Enter Email  & Leave Password Blank > Click Login > Verify error,"Login should fail with error ""Password is required""",Error message shown,Pass,High,High,QA,None
TC_Search_01,Verify search with valid product name,Search,Bhargavi Prasanna,8/30/2025,User on Home Page,Apple MacBook,Enter product name in search bar > Click Search button,"Search results page shows products related to ""Apple MacBook""",Products displayed,Pass,High,High,QA,None
TC_Search_02,Verify search with category name,Search,Bhargavi Prasanna,30-Aug-25,User on Home Page,Electronics,Enter category name in search bar > Click Search,"System shows ""No products were found that matched your criteria.""",Message displayed,Pass,Medium,Medium,QA,None
TC_Search_03,Verify search with partial product name,Search,Bhargavi Prasanna,30-Aug-25,User on Home Page,Mac,Enter partial product name > Click Search,"System shows ""No products were found that matched your criteria.""",Message displayed,Pass,Medium,Medium,QA,None
TC_Search_04,Search with special characters,Search,Bhargavi Prasanna,30-Aug-25,User on Home Page,&&*%,Enter special characters > Click Search,"System shows ""No products were found that matched your criteria.""",Message displayed,Pass,Medium,Medium,QA,None
TC_Search_05,Search with blank input,Search,Bhargavi Prasanna,30-Aug-25,User on Home Page,[Blank],Leave search bar blank > Click Search,"System shows ""No products were found that matched your criteria.""",Message displayed,Pass,Medium,Medium,QA,None
TC_Search_06,Search with non-existing product,Search,Bhargavi Prasanna,30-Aug-25,User on Home Page,XYZ Product 123,Enter non-existing product name > Click Search,"System shows ""No products were found that matched your criteria.""",Message displayed,Pass,Medium,High,QA,None
TC_Search_07,Search with very long text,Search,Bhargavi Prasanna,30-Aug-25,User on Home Page,LoremIpsumDolorSitAmetConsecteturAdipiscingElit1234567890,Enter very long string > Click Search,"System shows ""No products were found that matched your criteria.""",Message displayed,Pass,Medium,Medium,QA,None
TC_Search_08,Search with mixed case,Search,Bhargavi Prasanna,30-Aug-25,User on Home Page,aPpLe mAcBoOk,Enter product name with mixed uppercase/lowercase > Click Search,Search results show products ignoring case (case-insensitive),Products displayed,Pass,Medium,Medium,QA,None
TC_Search_09,Search with numbers in product name,Search,Bhargavi Prasanna,30-Aug-25,User on Home Page,HP Spectre XT Pro Ultrabook,Enter numbers > Click Search,Search results show products with matching numbers,Products displayed,Pass,Medium,Medium,QA,None
TC_Search_10,Search with leading/trailing spaces,Search,Bhargavi Prasanna,30-Aug-25,User on Home Page,""" Apple MacBook """,Enter product name with extra spaces > Click Search,Search results should trim spaces and show correct product,Products displayed,Pass,Medium,Medium,QA,None
TC_Cart_01,Add product to cart (valid),Cart,Bhargavi Prasanna,30-Aug-25,User logged in & on product page,Ray Ban Aviator Sunglasses,"Select a product > Click ""Add to cart""","Product added to cart, success message shown",Product added,Pass,High,High,QA,None
TC_Cart_02,Add multiple quantities,Cart,Bhargavi Prasanna,30-Aug-25,User logged in & on product page,Ray Ban Aviator Sunglasses(QTY:3),"Enter quantity = 3 > Click ""Add to cart""",Cart shows product with qty=3,Cart updated correctly,Pass,High,High,QA,None
TC_Cart_03,Update quantity in cart,Cart,Bhargavi Prasanna,30-Aug-25,User has product in cart,Ray Ban Aviator Sunglasses(QTY:2),Go to cart → Change quantity to 2 > Update,Cart updates with new quantity,Cart updated correctly,Pass,High,High,QA,None
TC_Cart_04,Remove product from cart,Cart,Bhargavi Prasanna,30-Aug-25,User has product in cart,Ray Ban Aviator Sunglasses,"Go to cart > Click ""Remove""",Product removed from the cart,Product removed,Pass,High,High,QA,None
